"","log(alpha)","log(a)","sigma2_alpha","sigma2_c","sigma2_a","sigma2_b","phi","phis"
"89",0.707281503403483,0.633165004390826,0.614370111390467,0.502322936518856,0.574467932239943,2.18441632718183,1.16403233775086,1.22170382527357
"90",0.713285155640965,0.633165004390826,0.237372221516662,0.532944746835989,1.20433107890046,2.4826058067806,0.997025116411388,1.54828963933151
"91",0.713285155640965,0.633165004390826,1.03158527679656,0.505462229516171,0.305655472548176,2.68816259832983,0.203401426164607,2.03262318373381
"92",0.713285155640965,0.702177374967793,5.23639192762121,0.677292070759496,1.05865461615351,2.291419198466,0.356643755354745,1.90193610348185
"93",0.713285155640965,0.702177374967793,5.77725249349859,0.469795968627661,1.81741678417345,1.93972505510965,0.356643755354745,2.04680807882571
"94",0.713285155640965,0.702177374967793,86.9332140864628,0.616940154870972,1.02484737911529,1.89845735957906,0.506808283675033,2.04335247576753
"95",0.713285155640965,0.702177374967793,0.519626571245951,0.461080424424014,0.615157167096561,2.64617790389656,0.506808283675033,1.64233670307815
"96",0.713285155640965,0.702177374967793,2.24630900064987,0.306860456992098,1.06821043895705,1.35270663025959,0.789716233836882,1.44569979753036
"97",0.713285155640965,0.702177374967793,1.51805170584707,0.383105215201811,5.18643613523137,1.89918173028044,0.789716233836882,1.25718038913102
"98",0.607353595118063,0.727681261001917,0.594048142856251,0.395374413435744,3.81016349641702,2.49747898686286,1.67651481687625,1.49509968824946
"99",0.607353595118063,0.727681261001917,0.538653589829169,0.796037223123436,0.261964171409629,2.24463784613741,0.705050372001842,1.43566526647453
"100",0.607353595118063,0.727681261001917,7.67651560656587,0.656361057454489,8.26031945252223,2.18055072606233,0.705050372001842,1.22748116886971
"101",0.607353595118063,0.680238373245551,0.584672921818353,0.429392186466945,1.46326190537357,2.29805079384742,1.59341810847842,0.938011162459581
"102",0.607353595118063,0.680238373245551,0.521218877107054,0.47111691053332,0.60385998932013,1.67132396777768,0.698846485041432,0.816757459615164
"103",0.607353595118063,0.680238373245551,13.8188431834803,0.430980504577713,0.394203713436674,1.57719310079009,0.698846485041432,0.758267743648908
"104",0.607353595118063,0.686561972916587,1.0933281632024,0.524919845142333,2.58919769429826,1.97481254559417,0.64933367779371,0.395825865732086
"105",0.607353595118063,0.686561972916587,0.346923596691707,0.510397941006711,13.5206455655441,2.28358526851062,1.3746280105116,0.330961461807074
"106",0.607353595118063,0.686561972916587,1.54978227368522,0.457405980037337,0.8714231319417,1.97650063525331,3.27324136046944,0.35138441901781
"107",0.607353595118063,0.686561972916587,0.391156954755857,0.366952666530689,0.459294666281631,1.77144003332602,3.46152452273478,0.332226762919431
"108",0.698392099397587,0.628054653130978,2.09745451542676,0.453005337642591,0.327225249252892,1.88785342549767,2.0995582472209,1.1357191401782
"109",0.698392099397587,0.789969626639716,0.466727627661826,0.364349805781491,8.59309155320251,2.03040095707519,2.49635031648295,1.26057572237892
