"","location","estimate","lower","upper","Method"
"118",45,0.18,0.18,0.18,"True"
"119",45,0.18,0.175705792570959,0.321297284373156,"FFChange"
"120",45,0.177435669073368,0.16740687339551,0.187728881426714,"ST_Model"
"121",46,0.74,0.74,0.74,"True"
"122",46,0.7,0.5987770629232,0.715051499351748,"FFChange"
"123",46,0.742692054147664,0.727122914088073,0.774192824740831,"ST_Model"
"124",47,0.2,0.2,0.2,"True"
"125",47,0.22,0.212129453185995,0.361013848123385,"FFChange"
"126",47,0.207532926834903,0.195183564191566,0.228813923803202,"ST_Model"
"127",48,0.7,0.7,0.7,"True"
"128",48,0.7,0.576999109179228,0.718289805472139,"FFChange"
"129",48,0.703261136817468,0.688933254288032,0.716347571967402,"ST_Model"
"130",49,0.54,0.54,0.54,"True"
"131",49,0.54,0.500744147257881,0.567478355576385,"FFChange"
"132",49,0.54330525900189,0.523833383480573,0.563727124823061,"ST_Model"
"133",50,0.42,0.42,0.42,"True"
"134",50,0.42,0.399119049405262,0.462854226243561,"FFChange"
"135",50,0.436161347041814,0.398737204103937,0.475767449148184,"ST_Model"
